date,startup,vertical,subvertical,city,investors,round,amount,year,month,quarter,month_year,funding_range,investor_count
2017-07-21,MonkeyBox,Consumer Tech,Healthy Food Delivery Platform,Bengaluru,"Blume Ventures, NB Ventures, Nspira",Seed,0.0,2017,7,3,2017-07,,3
2017-07-25,Noticeboard,Consumer Tech,Mobile-first Enterprise communication platform,Bengaluru,"Stellaris Venture Partners,",Private Equity,9.9,2017,7,3,2017-07,1-10Cr,2
2017-07-25,Byju\\\s,Consumer Tech,Mobile Learning App,Bengaluru,Tencent Holdings,Private Equity,288.75,2017,7,3,2017-07,100-500Cr,1
2017-07-26,Creator\\\s Gurukul,Others,Co-Working Space Provider,Delhi,Yuvraj Singh,Seed,0.0,2017,7,3,2017-07,,1
2017-07-26,Fab Hotels,Consumer Tech,Budget hotels brand & Aggregator Platform,Delhi,Goldman Sachs,Private Equity,206.25,2017,7,3,2017-07,100-500Cr,1
2017-07-26,ThinkerBell,Consumer Tech,Assisted Learning Startup,Bengaluru,"Indian Angel Network, Anand Mahindra",Seed,1.65,2017,7,3,2017-07,1-10Cr,2
2017-07-27,1mg,eCommerce,Online Pharmacy,Gurugram,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital",Private Equity,123.75,2017,7,3,2017-07,100-500Cr,4
2017-07-28,Jhakaas,Consumer Tech,App-based Aggregator of Offline Businesses,Mumbai,Amen Dhyllon,Seed,0.0,2017,7,3,2017-07,,1
2017-07-28,BigStylist,Consumer Tech,Beauty Services Marketplace,Mumbai,Info Edge (India) Ltd,Private Equity,10.3125,2017,7,3,2017-07,10-50Cr,1
2017-07-28,Gympik.com,Consumer Tech,online marketplace for discovering fitness centres,Bengaluru,RoundGlass Partners,Seed,0.0,2017,7,3,2017-07,,1
2017-01-06,Tripeur,Tech,Mobile based travel ERP platform,Bengaluru,"Grace Grace Techno Ventures LLP, Rajul Garg & Other undisclosed investors",Seed,0.0,2017,1,1,2017-01,,2
2017-02-06,RentOnGo,eCommerce,"Online Marketplace for Renting Bikes, Electronics & Appliances",Bengaluru,TVS Motor Company,Seed,1.9305,2017,2,1,2017-02,1-10Cr,1
2017-05-06,Goomo,Consumer Tech,Online Travel & Holiday Booking platform,Mumbai,Emerging India,Private Equity,412.5,2017,5,2,2017-05,100-500Cr,1
2017-05-06,MaxMyWealth,Consumer Tech,Online Wealth Management & Savings platform,Mumbai,"lockchain ecosystem Global Advisors, Horseferry",Private Equity,0.0,2017,5,2,2017-05,,2
2017-06-06,Spinny,eCommerce,Online Used Car marketplace,Gurugram,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",Private Equity,8.25,2017,6,2,2017-06,1-10Cr,4
2017-06-06,Healthbuds,Consumer Tech,Healthcare Discovery & booking platform,Kolkata,"Arun Patodia, Bharat Kedia",Seed,0.0,2017,6,2,2017-06,,2
2017-06-06,Ftcash,Consumer Tech,Mobile Payments platform,Mumbai,"500 Startups, IvyCap Ventures",Private Equity,0.0,2017,6,2,2017-06,,2
2017-06-06,BHIVE Workspace,Consumer Tech,co-working spaces,Bengaluru,Blume Ventures,Private Equity,9.9,2017,6,2,2017-06,1-10Cr,1
2017-06-06,wayForward,Consumer Tech,Mobile app for Mental Health,Delhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",Seed,8.25,2017,6,2,2017-06,1-10Cr,3
2017-06-06,GyanDhan,Consumer Tech,Education Marketplace,Delhi,Sundaram Finance Holdings,Private Equity,0.0,2017,6,2,2017-06,,1
2017-06-06,Hungry Foal,Consumer Tech,For profit Social Venture,Gurugram,SBI (Stand Up India Scheme),Private Equity,0.0,2017,6,2,2017-06,,1
2017-07-06,ZipLoan,Consumer Tech,Online lending platform,Delhi,WaterBridge Ventures,Seed,5.3625,2017,7,3,2017-07,1-10Cr,1
2017-07-06,GrowFitter,Consumer Tech,health and fitness discovery platform,Mumbai,SQue Capital,Seed,4.95,2017,7,3,2017-07,1-10Cr,1
2017-08-06,Stratfit,Consumer Tech,Health coaching programs,Hyderabad,Bodhtree Consulting Limited,Seed,1.914,2017,8,3,2017-08,1-10Cr,1
2017-08-06,Multiplier Solutions,Tech,CRM Software for Healthcare space,Hyderabad,Norwest Venture Partners,Private Equity,12.375,2017,8,3,2017-08,10-50Cr,1
2017-08-06,ABI Health,Tech,Unified Digital Health Platform,Bengaluru,Norwest Venture Partners,Private Equity,12.375,2017,8,3,2017-08,10-50Cr,1
2017-08-06,Stockal,Consumer Tech,App-based Investment advisory Services,Bengaluru,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha",Seed,2.8875,2017,8,3,2017-08,1-10Cr,4
2017-09-06,Guidoo,Consumer Tech,Travel & adventure planning platform,Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",Seed,2.475,2017,9,3,2017-09,1-10Cr,6
2017-09-06,eSahai.in,Consumer Tech,ambulance aggregator and medical taxi provider,Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala",Seed,2.0625,2017,9,3,2017-09,1-10Cr,2
2017-12-06,Loanmeet,Consumer Tech,Online peer-to-peer lending platform,Bengaluru,"Cao Yibin, Huang Wei, Madhusudan E,",Seed,0.0,2017,12,4,2017-12,,4
